"Time (UTCG)","Azimuth (deg)","Elevation (deg)","Range (km)"
1 Jan 2000 13:55:43.912,100.221,56.777,12717.267882
1 Jan 2000 13:55:53.000,99.962,56.908,12711.658958
1 Jan 2000 13:56:03.000,99.675,57.053,12705.545502
1 Jan 2000 13:56:13.000,99.384,57.197,12699.493266
1 Jan 2000 13:56:23.000,99.092,57.340,12693.502385
1 Jan 2000 13:56:33.000,98.796,57.482,12687.572993
1 Jan 2000 13:56:43.000,98.498,57.623,12681.705222
1 Jan 2000 13:56:53.000,98.196,57.763,12675.899202
1 Jan 2000 13:57:03.000,97.892,57.903,12670.155062
1 Jan 2000 13:57:13.000,97.585,58.041,12664.472932
1 Jan 2000 13:57:23.000,97.275,58.179,12658.852938
1 Jan 2000 13:57:33.000,96.963,58.316,12653.295205
1 Jan 2000 13:57:43.000,96.647,58.452,12647.799860
1 Jan 2000 13:57:53.000,96.328,58.587,12642.367025
1 Jan 2000 13:58:03.000,96.007,58.721,12636.996822
1 Jan 2000 13:58:13.000,95.682,58.854,12631.689372
1 Jan 2000 13:58:23.000,95.355,58.986,12626.444794
1 Jan 2000 13:58:33.000,95.024,59.117,12621.263208
1 Jan 2000 13:58:43.000,94.691,59.247,12616.144730
1 Jan 2000 13:58:53.000,94.354,59.376,12611.089476
1 Jan 2000 13:59:03.000,94.014,59.504,12606.097561
1 Jan 2000 13:59:13.000,93.672,59.631,12601.169096
1 Jan 2000 13:59:23.000,93.326,59.757,12596.304195
1 Jan 2000 13:59:33.000,92.977,59.882,12591.502968
1 Jan 2000 13:59:43.000,92.625,60.005,12586.765523
1 Jan 2000 13:59:53.000,92.270,60.128,12582.091969
1 Jan 2000 14:00:03.000,91.912,60.249,12577.482412
1 Jan 2000 14:00:13.000,91.550,60.369,12572.936957
1 Jan 2000 14:00:23.000,91.186,60.488,12568.455708
1 Jan 2000 14:00:33.000,90.818,60.606,12564.038767
1 Jan 2000 14:00:43.000,90.448,60.722,12559.686234
1 Jan 2000 14:00:53.000,90.074,60.838,12555.398211
1 Jan 2000 14:01:03.000,89.697,60.952,12551.174793
1 Jan 2000 14:01:13.000,89.316,61.064,12547.016079
1 Jan 2000 14:01:23.000,88.933,61.176,12542.922164
1 Jan 2000 14:01:33.000,88.546,61.286,12538.893140
1 Jan 2000 14:01:43.000,88.157,61.395,12534.929102
1 Jan 2000 14:01:53.000,87.764,61.502,12531.030139
1 Jan 2000 14:02:03.000,87.368,61.608,12527.196342
1 Jan 2000 14:02:13.000,86.969,61.713,12523.427798
1 Jan 2000 14:02:23.000,86.567,61.816,12519.724593
1 Jan 2000 14:02:33.000,86.161,61.918,12516.086814
1 Jan 2000 14:02:43.000,85.753,62.019,12512.514544
1 Jan 2000 14:02:53.000,85.341,62.118,12509.007864
1 Jan 2000 14:03:03.000,84.926,62.215,12505.566856
1 Jan 2000 14:03:13.000,84.509,62.311,12502.191599
1 Jan 2000 14:03:23.000,84.088,62.406,12498.882170
1 Jan 2000 14:03:33.000,83.664,62.499,12495.638646
1 Jan 2000 14:03:43.000,83.237,62.590,12492.461101
1 Jan 2000 14:03:53.000,82.807,62.680,12489.349608
1 Jan 2000 14:04:03.000,82.374,62.768,12486.304239
1 Jan 2000 14:04:13.000,81.939,62.855,12483.325065
1 Jan 2000 14:04:23.000,81.500,62.940,12480.412153
1 Jan 2000 14:04:33.000,81.058,63.023,12477.565571
1 Jan 2000 14:04:43.000,80.614,63.105,12474.785384
1 Jan 2000 14:04:53.000,80.166,63.185,12472.071656
1 Jan 2000 14:05:03.000,79.716,63.263,12469.424450
1 Jan 2000 14:05:13.000,79.263,63.340,12466.843825
1 Jan 2000 14:05:23.000,78.808,63.415,12464.329842
1 Jan 2000 14:05:33.000,78.350,63.488,12461.882558
1 Jan 2000 14:05:43.000,77.889,63.560,12459.502029
1 Jan 2000 14:05:53.000,77.425,63.629,12457.188310
1 Jan 2000 14:06:03.000,76.959,63.697,12454.941453
1 Jan 2000 14:06:13.000,76.491,63.763,12452.761509
1 Jan 2000 14:06:23.000,76.020,63.827,12450.648530
1 Jan 2000 14:06:33.000,75.546,63.890,12448.602561
1 Jan 2000 14:06:43.000,75.071,63.950,12446.623651
1 Jan 2000 14:06:53.000,74.593,64.009,12444.711844
1 Jan 2000 14:07:03.000,74.112,64.066,12442.867183
1 Jan 2000 14:07:13.000,73.630,64.121,12441.089709
1 Jan 2000 14:07:23.000,73.145,64.174,12439.379464
1 Jan 2000 14:07:33.000,72.659,64.225,12437.736485
1 Jan 2000 14:07:43.000,72.170,64.274,12436.160809
1 Jan 2000 14:07:53.000,71.680,64.321,12434.652472
1 Jan 2000 14:08:03.000,71.188,64.366,12433.211506
1 Jan 2000 14:08:13.000,70.694,64.410,12431.837945
1 Jan 2000 14:08:23.000,70.198,64.451,12430.531817
1 Jan 2000 14:08:33.000,69.701,64.490,12429.293152
1 Jan 2000 14:08:43.000,69.202,64.527,12428.121977
1 Jan 2000 14:08:53.000,68.701,64.563,12427.018317
1 Jan 2000 14:09:03.000,68.200,64.596,12425.982195
1 Jan 2000 14:09:13.000,67.696,64.627,12425.013635
1 Jan 2000 14:09:23.000,67.192,64.656,12424.112656
1 Jan 2000 14:09:33.000,66.687,64.683,12423.279276
1 Jan 2000 14:09:43.000,66.180,64.708,12422.513514
1 Jan 2000 14:09:53.000,65.673,64.731,12421.815385
1 Jan 2000 14:10:03.000,65.164,64.752,12421.184902
1 Jan 2000 14:10:13.000,64.655,64.771,12420.622078
1 Jan 2000 14:10:23.000,64.145,64.788,12420.126923
1 Jan 2000 14:10:33.000,63.635,64.803,12419.699445
1 Jan 2000 14:10:43.000,63.124,64.815,12419.339653
1 Jan 2000 14:10:53.000,62.612,64.826,12419.047552
1 Jan 2000 14:11:03.000,62.100,64.834,12418.823145
1 Jan 2000 14:11:13.000,61.588,64.841,12418.666435
1 Jan 2000 14:11:23.000,61.076,64.845,12418.577422
1 Jan 2000 14:11:33.000,60.564,64.847,12418.556105
1 Jan 2000 14:11:43.000,60.051,64.847,12418.602482
1 Jan 2000 14:11:53.000,59.539,64.845,12418.716548
1 Jan 2000 14:12:03.000,59.027,64.841,12418.898296
1 Jan 2000 14:12:13.000,58.515,64.835,12419.147720
1 Jan 2000 14:12:23.000,58.004,64.826,12419.464810
1 Jan 2000 14:12:33.000,57.493,64.816,12419.849554
1 Jan 2000 14:12:43.000,56.982,64.803,12420.301941
1 Jan 2000 14:12:53.000,56.472,64.789,12420.821955
1 Jan 2000 14:13:03.000,55.963,64.772,12421.409580
1 Jan 2000 14:13:13.000,55.455,64.753,12422.064800
1 Jan 2000 14:13:23.000,54.948,64.732,12422.787595
1 Jan 2000 14:13:33.000,54.441,64.709,12423.577943
1 Jan 2000 14:13:43.000,53.936,64.684,12424.435822
1 Jan 2000 14:13:53.000,53.432,64.657,12425.361209
1 Jan 2000 14:14:03.000,52.929,64.628,12426.354076
1 Jan 2000 14:14:13.000,52.427,64.597,12427.414397
1 Jan 2000 14:14:23.000,51.927,64.564,12428.542142
1 Jan 2000 14:14:33.000,51.429,64.529,12429.737281
1 Jan 2000 14:14:43.000,50.931,64.492,12430.999781
1 Jan 2000 14:14:53.000,50.436,64.453,12432.329608
1 Jan 2000 14:15:03.000,49.942,64.412,12433.726727
1 Jan 2000 14:15:13.000,49.450,64.369,12435.191099
1 Jan 2000 14:15:23.000,48.960,64.323,12436.722687
1 Jan 2000 14:15:33.000,48.472,64.276,12438.321449
1 Jan 2000 14:15:43.000,47.986,64.227,12439.987344
1 Jan 2000 14:15:53.000,47.502,64.177,12441.720328
1 Jan 2000 14:16:03.000,47.020,64.124,12443.520355
1 Jan 2000 14:16:13.000,46.540,64.069,12445.387378
1 Jan 2000 14:16:23.000,46.063,64.012,12447.321349
1 Jan 2000 14:16:33.000,45.587,63.954,12449.322218
1 Jan 2000 14:16:43.000,45.115,63.894,12451.389933
1 Jan 2000 14:16:53.000,44.644,63.831,12453.524440
1 Jan 2000 14:17:03.000,44.176,63.767,12455.725685
1 Jan 2000 14:17:13.000,43.711,63.701,12457.993612
1 Jan 2000 14:17:23.000,43.248,63.634,12460.328161
1 Jan 2000 14:17:33.000,42.788,63.564,12462.729275
1 Jan 2000 14:17:43.000,42.331,63.493,12465.196890
1 Jan 2000 14:17:53.000,41.876,63.420,12467.730945
1 Jan 2000 14:18:03.000,41.424,63.346,12470.331376
1 Jan 2000 14:18:13.000,40.975,63.269,12472.998116
1 Jan 2000 14:18:23.000,40.529,63.191,12475.731098
1 Jan 2000 14:18:33.000,40.085,63.111,12478.530253
1 Jan 2000 14:18:43.000,39.645,63.030,12481.395511
1 Jan 2000 14:18:53.000,39.207,62.947,12484.326800
1 Jan 2000 14:19:03.000,38.773,62.862,12487.324047
1 Jan 2000 14:19:13.000,38.341,62.776,12490.387176
1 Jan 2000 14:19:23.000,37.913,62.688,12493.516111
1 Jan 2000 14:19:33.000,37.488,62.598,12496.710773
1 Jan 2000 14:19:43.000,37.065,62.507,12499.971084
1 Jan 2000 14:19:53.000,36.646,62.414,12503.296963
1 Jan 2000 14:20:03.000,36.230,62.320,12506.688327
1 Jan 2000 14:20:13.000,35.817,62.225,12510.145092
1 Jan 2000 14:20:23.000,35.407,62.128,12513.667172
1 Jan 2000 14:20:33.000,35.000,62.029,12517.254482
1 Jan 2000 14:20:43.000,34.597,61.929,12520.906932
1 Jan 2000 14:20:53.000,34.197,61.827,12524.624433
1 Jan 2000 14:21:03.000,33.800,61.724,12528.406894
1 Jan 2000 14:21:13.000,33.406,61.620,12532.254222
1 Jan 2000 14:21:23.000,33.015,61.514,12536.166324
1 Jan 2000 14:21:33.000,32.628,61.407,12540.143103
1 Jan 2000 14:21:43.000,32.244,61.299,12544.184463
1 Jan 2000 14:21:53.000,31.863,61.189,12548.290305
1 Jan 2000 14:22:03.000,31.485,61.078,12552.460531
1 Jan 2000 14:22:13.000,31.111,60.966,12556.695038
1 Jan 2000 14:22:23.000,30.740,60.853,12560.993725
